???q?N??,???q?W??,"???~???J","???~????","???~???Q?]???l?^","?????{?P?f?]?l?^?q","?w???{?P?f?]?l?^?q","???~???Q?]???l?^?b?B","???~?O??","???L???q?ζO?l?b?B","???~?Q?q?]?l???^","???~?~???J?Τ??X","?|?e?b?Q?]?b?l?^","?ұo?|?O?Ρ]?Q?q?^","?~?????~???쥻?��b?Q?]?b?l?^","???~?????l?q","?X?֫e?D?ݦ@?P???????v?l?q","???��b?Q?]?b?l?^","???L???X?l?q?]?b?B?^","?X?֫e?D?ݦ@?P???????v???X?l?q?b?B","???��??X?l?q?`?B","?b?Q?]?b?l?^?k?ݩ??��??q?~?D","?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q","?b?Q?]?b?l?^?k?ݩ??D?????v?q","???X?l?q?`?B?k?ݩ??��??q?~?D","???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q","???X?l?q?`?B?k?ݩ??D?????v?q","?򥻨C?Ѭվl?]???^",
"2454","?p?o??",57250252.00,32775283.00,24474969.00,--,--,24474969.00,15500016.00,--,8974953.00,2090436.00,11065389.00,613175.00,10452214.00,--,--,10452214.00,4525031.00,--,14977245.00,10463867.00,--,-11653.00,14986742.00,--,-9497.00,7.80,
"2455","???s",1256304.00,824116.00,432188.00,--,--,432188.00,84917.00,--,347271.00,28577.00,375848.00,57155.00,318693.00,--,--,318693.00,--,--,318693.00,--,--,--,--,--,--,1.29,
"2456","?_?O?s",1869634.00,1469397.00,400237.00,0.00,0.00,400237.00,217874.00,--,182363.00,15168.00,197531.00,57674.00,139857.00,0.00,--,139857.00,97850.00,--,237707.00,146781.00,--,-6924.00,253289.00,--,-15582.00,0.96,
"2457","????????",5631895.00,4744943.00,886952.00,--,--,886952.00,871569.00,--,15383.00,111914.00,127297.00,73961.00,53336.00,--,--,53336.00,183823.00,--,237159.00,55448.00,--,-2112.00,240767.00,--,-3608.00,0.20,
"2458","?q??",4026835.00,2109548.00,1917287.00,856.00,--,1916431.00,953286.00,--,963145.00,46909.00,1010054.00,164942.00,845112.00,--,--,845112.00,46857.00,--,891969.00,881329.00,--,-36217.00,928099.00,--,-36130.00,2.18,
"2459","???N",6071886.00,5514783.00,557103.00,--,--,557103.00,301750.00,--,255353.00,47943.00,303296.00,98718.00,204578.00,--,--,204578.00,201927.00,--,406505.00,187359.00,--,17219.00,375799.00,--,30706.00,1.32,
"2460","?سq???K",1887206.00,1736316.00,150890.00,--,--,150890.00,195814.00,--,-44924.00,-29541.00,-74465.00,-23399.00,-51066.00,--,--,-51066.00,154662.00,--,103596.00,-51066.00,--,--,103596.00,--,--,-0.30,
"2461","???s?p?g",2004910.00,1500155.00,504755.00,--,6758.00,511513.00,373616.00,--,137897.00,69129.00,207026.00,22714.00,184312.00,--,--,184312.00,92807.00,--,277119.00,135137.00,--,49175.00,227658.00,--,49461.00,0.91,
"2462","?}?o?q",2130587.00,1843237.00,287350.00,--,--,287350.00,198465.00,--,88885.00,16807.00,105692.00,36080.00,69612.00,--,--,69612.00,44229.00,--,113841.00,69612.00,--,--,113841.00,--,--,0.80,
"2464","????",3200178.00,2644331.00,555847.00,--,--,555847.00,334118.00,1308.00,223037.00,14292.00,237329.00,26621.00,210708.00,--,--,210708.00,40535.00,--,251243.00,210703.00,--,5.00,251238.00,--,5.00,1.15,
"2465","?R?O????",909386.00,789034.00,120352.00,--,--,120352.00,204636.00,--,-84284.00,10809.00,-73475.00,56.00,-73531.00,--,--,-73531.00,-2444.00,--,-75975.00,-72737.00,--,-794.00,-75189.00,--,-786.00,-0.68,
"2466","?a???q",483279.00,417424.00,65855.00,--,--,65855.00,114752.00,0.00,-48897.00,46100.00,-2797.00,-4379.00,1582.00,0.00,--,1582.00,44196.00,--,45778.00,1381.00,--,201.00,45577.00,--,201.00,0.01,
"2467","?Ӹt?u?~",1706033.00,1138403.00,567630.00,--,--,567630.00,489919.00,--,77711.00,159846.00,237557.00,52890.00,184667.00,--,--,184667.00,103499.00,--,288166.00,196272.00,--,-11605.00,299771.00,--,-11605.00,1.24,
"2468","?ظg",674961.00,597782.00,77179.00,--,--,77179.00,83914.00,--,-6735.00,10757.00,4022.00,1026.00,2996.00,--,--,2996.00,-6383.00,--,-3387.00,2996.00,--,--,-3387.00,--,--,0.04,
"2471","???q",326958.00,215597.00,111361.00,--,--,111361.00,77030.00,--,34331.00,5967.00,40298.00,7471.00,32827.00,--,--,32827.00,2673.00,--,35500.00,32827.00,--,--,35500.00,--,--,0.69,
"2472","?߶??q?l",2791493.00,2278787.00,512706.00,--,--,512706.00,326322.00,--,186384.00,133096.00,319480.00,107058.00,212422.00,--,--,212422.00,86203.00,--,298625.00,172750.00,--,39672.00,220902.00,--,77723.00,1.13,
"2474","?i??????",19692054.00,11187842.00,8504212.00,--,--,8504212.00,1947115.00,--,6557097.00,2959125.00,9516222.00,1949347.00,7566875.00,--,--,7566875.00,2596487.00,--,10163362.00,7558284.00,--,8591.00,10147438.00,--,15924.00,10.07,
"2475","?جM",27717683.00,25555642.00,2162041.00,--,--,2162041.00,3764924.00,--,-1602883.00,-3468147.00,-5071030.00,265615.00,-5336645.00,--,--,-5336645.00,2555944.00,--,-2780701.00,-5573318.00,--,236673.00,-3274212.00,--,493511.00,-0.86,
"2476","?d??",2139958.00,1610103.00,529855.00,--,--,529855.00,382322.00,1619.00,149152.00,87563.00,236715.00,52789.00,183926.00,--,--,183926.00,204246.00,--,388172.00,157960.00,--,25966.00,329265.00,--,58907.00,0.65,
"2477","?????q",1801487.00,1546340.00,255147.00,--,--,255147.00,303132.00,--,-47985.00,20776.00,-27209.00,884.00,-28093.00,--,--,-28093.00,77080.00,--,48987.00,-19417.00,--,-8676.00,57730.00,--,-8743.00,-0.12,
"2478","?j??",1808438.00,1556770.00,251668.00,--,--,251668.00,192562.00,--,59106.00,3857.00,62963.00,7201.00,55762.00,--,--,55762.00,103892.00,--,159654.00,50570.00,--,5192.00,154601.00,--,5053.00,0.21,
"2480","????????",1796380.00,1200847.00,595533.00,--,--,595533.00,422159.00,0.00,173374.00,11501.00,184875.00,32660.00,152215.00,--,--,152215.00,9669.00,--,161884.00,152215.00,--,0.00,161884.00,--,--,1.14,
"2481","?j?Z",6210928.00,5588144.00,622784.00,--,--,622784.00,933117.00,--,-310333.00,-125003.00,-435336.00,-46439.00,-388897.00,--,--,-388897.00,219778.00,--,-169119.00,-167585.00,--,-221312.00,9078.00,--,-178197.00,-0.46,
"2482","?s?t",357212.00,230900.00,126312.00,--,--,126312.00,129924.00,--,-3612.00,10678.00,7066.00,3406.00,3660.00,--,--,3660.00,3979.00,--,7639.00,3945.00,--,-285.00,7924.00,--,-285.00,0.06,
"2483","?ʮe",784859.00,620940.00,163919.00,--,--,163919.00,135034.00,--,28885.00,31805.00,60690.00,13831.00,46859.00,--,--,46859.00,22785.00,--,69644.00,46207.00,--,652.00,68992.00,--,652.00,0.41,
"2484","?Ƶ?",1169362.00,933691.00,235671.00,--,-1080.00,234591.00,170527.00,--,64064.00,24184.00,88248.00,22591.00,65657.00,--,--,65657.00,-20287.00,--,45370.00,68087.00,--,-2430.00,49274.00,--,-3904.00,0.43,
"2485","?????q?l",3766071.00,3057659.00,708412.00,--,--,708412.00,419332.00,--,289080.00,161783.00,450863.00,50373.00,400490.00,--,--,400490.00,42349.00,--,442839.00,410799.00,--,-10309.00,453148.00,--,-10309.00,1.29,
"2486","?@?????K",3385588.00,3029460.00,356128.00,--,--,356128.00,298497.00,1867.00,59498.00,42890.00,102388.00,29421.00,72967.00,--,--,72967.00,91092.00,--,164059.00,82636.00,--,-9669.00,173728.00,--,-9669.00,0.41,
"2488","?~??",926899.00,708210.00,218689.00,--,--,218689.00,134441.00,--,84248.00,20233.00,104481.00,18912.00,85569.00,--,--,85569.00,24410.00,--,109979.00,85169.00,--,400.00,109246.00,--,733.00,1.06,
