公司代號,公司名稱,"營業收入","營業成本","營業毛利（毛損）","未實現銷貨（損）益","已實現銷貨（損）益","營業毛利（毛損）淨額","營業費用","其他收益及費損淨額","營業利益（損失）","營業外收入及支出","稅前淨利（淨損）","所得稅費用（利益）","繼續營業單位本期淨利（淨損）","停業單位損益","合併前非屬共同控制股權損益","本期淨利（淨損）","其他綜合損益（淨額）","合併前非屬共同控制股權綜合損益淨額","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"1101","台泥",26716227.00,21852093.00,4864134.00,--,--,4864134.00,1179910.00,--,3684224.00,-133378.00,3550846.00,759611.00,2791235.00,--,--,2791235.00,1841792.00,--,4633027.00,1833139.00,--,958096.00,4015175.00,--,617852.00,0.50,
"1102","亞泥",16256080.00,14017994.00,2238086.00,358.00,0.00,2237728.00,600109.00,--,1637619.00,376460.00,2014079.00,330848.00,1683231.00,--,--,1683231.00,-362929.00,--,1320302.00,1439813.00,--,243418.00,873472.00,--,446830.00,0.47,
"1103","嘉泥",1019429.00,961066.00,58363.00,--,--,58363.00,100950.00,--,-42587.00,798.00,-41789.00,-7585.00,-34204.00,--,--,-34204.00,530985.00,--,496781.00,-39384.00,--,5180.00,469716.00,--,27065.00,-0.06,
"1104","環球水泥",1379161.00,1243559.00,135602.00,--,--,135602.00,88248.00,--,47354.00,204613.00,251967.00,11138.00,240829.00,--,--,240829.00,130677.00,--,371506.00,239661.00,--,1168.00,370338.00,--,1168.00,0.40,
"1108","幸福水泥",1219347.00,1052909.00,166438.00,0.00,0.00,166438.00,63469.00,0.00,102969.00,-16590.00,86379.00,17869.00,68510.00,0.00,--,68510.00,12131.00,--,80641.00,73015.00,--,-4505.00,82881.00,--,-2240.00,0.18,
"1109","信大水泥",1192024.00,932059.00,259965.00,--,--,259965.00,118722.00,--,141243.00,-5246.00,135997.00,28994.00,107003.00,0.00,--,107003.00,-10317.00,--,96686.00,85720.00,--,21283.00,78882.00,--,17804.00,0.20,
"1110","東泥",495721.00,423693.00,72028.00,--,--,72028.00,17106.00,--,54922.00,6768.00,61690.00,-6483.00,68173.00,0.00,--,68173.00,83549.00,--,151722.00,67967.00,--,206.00,151517.00,--,205.00,0.12,
"1201","味全公司",6611781.00,4551910.00,2059871.00,--,--,2059871.00,1662851.00,--,397020.00,-74415.00,322605.00,84384.00,238221.00,--,--,238221.00,-14544.00,--,223677.00,256386.00,--,-18165.00,243315.00,--,-19638.00,0.51,
"1203","味王公司",1498954.00,1119594.00,379360.00,0.00,0.00,379360.00,202169.00,--,177191.00,-956.00,176235.00,48365.00,127870.00,0.00,--,127870.00,96724.00,--,224594.00,85357.00,--,42513.00,134380.00,--,90214.00,0.36,
"1210","大成長城",21742705.00,19579545.00,2163160.00,--,--,2163160.00,1737402.00,--,425758.00,47587.00,473345.00,105934.00,367411.00,--,--,367411.00,272946.00,--,640357.00,356947.00,--,10464.00,528667.00,--,111690.00,0.68,
