???q?N??,???q?W??,???~???J,???~????,???~???Q?]???l?^,?????{?P?f?]?l?^?q,?w???{?P?f?]?l?^?q,???~???Q?]???l?^?b?B,???~?O??,???L???q?ζO?l?b?B,???~?Q?q?]?l???^,???~?~???J?Τ??X,?|?e?b?Q?]?b?l?^,?ұo?|?O?Ρ]?Q?q?^,?~?????~???쥻?��b?Q?]?b?l?^,???~?????l?q,?X?֫e?D?ݦ@?P???????v?l?q,???��b?Q?]?b?l?^,???L???X?l?q?]?b?B?^,?X?֫e?D?ݦ@?P???????v???X?l?q?b?B,???��??X?l?q?`?B,?b?Q?]?b?l?^?k?ݩ??��??q?~?D,?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q,?b?Q?]?b?l?^?k?ݩ??D?????v?q,???X?l?q?`?B?k?ݩ??��??q?~?D,???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q,???X?l?q?`?B?k?ݩ??D?????v?q,?򥻨C?Ѭվl?]???^,
1783,?M?d?ͧ?,232947.00,125738.00,107209.00,--,--,107209.00,110768.00,--,-3559.00,6974.00,3415.00,831.00,2584.00,--,--,2584.00,333.00,--,2917.00,2584.00,--,--,2917.00,--,--,0.04,
1786,?짰,200509.00,84807.00,115702.00,--,--,115702.00,85892.00,--,29810.00,1554.00,31364.00,-8988.00,40352.00,--,--,40352.00,-2746.00,--,37606.00,40352.00,--,--,37606.00,--,--,0.93,
1789,?x?W????,5088245.00,2545712.00,2542533.00,--,--,2542533.00,1145033.00,--,1397500.00,11013.00,1408513.00,135109.00,1273404.00,--,--,1273404.00,79808.00,--,1353212.00,1273404.00,--,0.00,1353212.00,--,0.00,1.88,
1802,?x??,37085123.00,34311032.00,2774091.00,--,--,2774091.00,4775114.00,-13.00,-2001036.00,1580221.00,-420815.00,583111.00,-1003926.00,--,--,-1003926.00,2690954.00,--,1687028.00,-896175.00,--,-107751.00,1565866.00,--,121162.00,-0.38,
1805,?_?t,2472297.00,2085991.00,386306.00,--,--,386306.00,197441.00,--,188865.00,18624.00,207489.00,16.00,207473.00,--,--,207473.00,0.00,--,207473.00,207473.00,--,0.00,207473.00,--,0.00,2.66,
1806,?a?x,7174876.00,4949346.00,2225530.00,--,--,2225530.00,1786255.00,--,439275.00,-23700.00,415575.00,136134.00,279441.00,--,--,279441.00,318836.00,--,598277.00,280756.00,--,-1315.00,599592.00,--,-1315.00,0.64,
1808,?���,834711.00,483689.00,351022.00,--,--,351022.00,263757.00,--,87265.00,344.00,87609.00,31250.00,56359.00,--,--,56359.00,--,--,56359.00,--,--,--,--,--,--,0.36,
1809,???V,3502527.00,2764174.00,738353.00,0.00,0.00,738353.00,552337.00,21520.00,207536.00,-4395.00,203141.00,49047.00,154094.00,0.00,--,154094.00,150484.00,--,304578.00,142588.00,--,11506.00,243684.00,--,60894.00,0.75,
1810,?M??,6019017.00,4341347.00,1677670.00,--,--,1677670.00,1520639.00,--,157031.00,62185.00,219216.00,42590.00,176626.00,--,--,176626.00,21757.00,--,198383.00,179238.00,--,-2612.00,200787.00,--,-2404.00,0.49,
1817,?ͼ??ïD,1736983.00,1201341.00,535642.00,--,--,535642.00,314262.00,-20.00,221360.00,3943.00,225303.00,59773.00,165530.00,--,--,165530.00,7908.00,--,173438.00,165530.00,--,--,173438.00,--,--,2.54,
