公司代號,公司名稱,"營業收入","營業成本","營業毛利（毛損）","未實現銷貨（損）益","已實現銷貨（損）益","營業毛利（毛損）淨額","營業費用","其他收益及費損淨額","營業利益（損失）","營業外收入及支出","稅前淨利（淨損）","所得稅費用（利益）","繼續營業單位本期淨利（淨損）","停業單位損益","合併前非屬共同控制股權損益","本期淨利（淨損）","其他綜合損益（淨額）","合併前非屬共同控制股權綜合損益淨額","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"1101","台泥",58589686.00,46584312.00,12005374.00,--,--,12005374.00,2382833.00,--,9622541.00,214502.00,9837043.00,2217113.00,7619930.00,--,--,7619930.00,-2554883.00,--,5065047.00,5028885.00,--,2591045.00,3260281.00,--,1804766.00,1.36,
"1102","亞泥",37450912.00,31932192.00,5518720.00,803.00,0.00,5517917.00,1364110.00,--,4153807.00,2742099.00,6895906.00,1017234.00,5878672.00,--,--,5878672.00,-3143704.00,--,2734968.00,5174629.00,--,704043.00,2120997.00,--,613971.00,1.68,
"1103","嘉泥",1909502.00,1777842.00,131660.00,--,--,131660.00,247606.00,--,-115946.00,146465.00,30519.00,18931.00,11588.00,--,--,11588.00,-1377598.00,--,-1366010.00,-3722.00,--,15310.00,-1336624.00,--,-29386.00,-0.01,
"1104","環球水泥",2835547.00,2584642.00,250905.00,--,--,250905.00,162154.00,--,88751.00,655928.00,744679.00,58815.00,685864.00,--,--,685864.00,80641.00,--,766505.00,687639.00,--,-1775.00,768280.00,--,-1775.00,1.12,
"1108","幸福水泥",2495607.00,2130219.00,365388.00,0.00,0.00,365388.00,129813.00,0.00,235575.00,27384.00,262959.00,44041.00,218918.00,0.00,--,218918.00,3809.00,--,222727.00,224575.00,--,-5657.00,225801.00,--,-3074.00,0.55,
"1109","信大水泥",2685148.00,2083070.00,602078.00,--,--,602078.00,257841.00,--,344237.00,-11328.00,332909.00,80675.00,252234.00,--,--,252234.00,-70707.00,--,181527.00,197217.00,--,55017.00,145609.00,--,35918.00,0.47,
"1110","東泥",1004310.00,878576.00,125734.00,--,--,125734.00,32230.00,--,93504.00,10600.00,104104.00,-658.00,104762.00,--,--,104762.00,164826.00,--,269588.00,104476.00,--,286.00,269304.00,--,284.00,0.18,
"1201","味全公司",13996768.00,9716022.00,4280746.00,--,--,4280746.00,3520705.00,--,760041.00,-141272.00,618769.00,241110.00,377659.00,--,--,377659.00,-60198.00,--,317461.00,431878.00,--,-54219.00,377206.00,--,-59745.00,0.85,
"1203","味王公司",3076899.00,2321377.00,755522.00,0.00,0.00,755522.00,431477.00,--,324045.00,-6913.00,317132.00,98282.00,218850.00,0.00,--,218850.00,99729.00,--,318579.00,153284.00,--,65566.00,241647.00,--,76932.00,0.64,
"1210","大成長城",44414706.00,40162104.00,4252602.00,--,--,4252602.00,3385294.00,--,867308.00,78867.00,946175.00,195347.00,750828.00,--,--,750828.00,379909.00,--,1130737.00,671010.00,--,79818.00,1069533.00,--,61204.00,1.28,
"1213","大飲",324209.00,278251.00,45958.00,--,--,45958.00,40534.00,--,5424.00,1085.00,6509.00,2992.00,3517.00,--,--,3517.00,-3.00,--,3514.00,3517.00,--,--,3514.00,--,--,0.07,
"1215","卜蜂企業",8467621.00,7457874.00,1009747.00,--,--,1009747.00,551466.00,6379.00,464660.00,26104.00,490764.00,98186.00,392578.00,--,--,392578.00,-255854.00,--,136724.00,382059.00,--,10519.00,126619.00,--,10105.00,1.65,
"1216","統一",214454670.00,146222519.00,68232151.00,--,--,68232151.00,57557651.00,--,10674500.00,3208464.00,13882964.00,2478506.00,11404458.00,--,--,11404458.00,-1843182.00,--,9561276.00,7258373.00,--,4146085.00,6101150.00,--,3460126.00,1.41,
"1217","愛之味",1956775.00,1405180.00,551595.00,--,--,551595.00,814702.00,--,-263107.00,-38710.00,-301817.00,10015.00,-311832.00,0.00,--,-311832.00,-26622.00,--,-338454.00,-276179.00,--,-35653.00,-296479.00,--,-41975.00,-0.57,
"1218","泰山企業",4438100.00,3809045.00,629055.00,610.00,410.00,628855.00,730402.00,--,-101547.00,106352.00,4805.00,2180.00,2625.00,--,--,2625.00,16577.00,--,19202.00,2577.00,--,48.00,19154.00,--,48.00,0.01,
"1219","福壽實業",5065899.00,4720093.00,345806.00,--,--,345806.00,307115.00,--,38691.00,21191.00,59882.00,8639.00,51243.00,--,--,51243.00,-1538.00,--,49705.00,52459.00,--,-1216.00,52392.00,--,-2687.00,0.17,
"1220","台榮",1560178.00,1416376.00,143802.00,--,--,143802.00,103689.00,--,40113.00,6136.00,46249.00,7890.00,38359.00,--,--,38359.00,-5635.00,--,32724.00,40301.00,--,-1942.00,34651.00,--,-1927.00,0.23,
"1225","福懋油",6047932.00,5709418.00,338514.00,186.00,--,338328.00,259042.00,-3925.00,75361.00,-21980.00,53381.00,9710.00,43671.00,--,--,43671.00,-602.00,--,43069.00,36347.00,--,7324.00,35745.00,--,7324.00,0.18,
"1227","佳格",9927834.00,7237313.00,2690521.00,--,--,2690521.00,1647174.00,--,1043347.00,12452.00,1055799.00,186624.00,869175.00,--,--,869175.00,-6808.00,--,862367.00,865691.00,--,3484.00,858876.00,--,3491.00,1.21,
"1229","聯華實業",2577944.00,2271524.00,306420.00,--,--,306420.00,204781.00,--,101639.00,1083296.00,1184935.00,67003.00,1117932.00,--,--,1117932.00,256236.00,--,1374168.00,1129532.00,--,-11600.00,1387429.00,--,-13261.00,1.32,
"1231","聯華食品",2669995.00,2131267.00,538728.00,0.00,0.00,538728.00,504624.00,--,34104.00,17016.00,51120.00,8654.00,42466.00,--,--,42466.00,-1270.00,--,41196.00,43656.00,--,-1190.00,42485.00,--,-1289.00,0.33,
"1232","大統益",10929840.00,10143696.00,786144.00,--,--,786144.00,277807.00,--,508337.00,27627.00,535964.00,97283.00,438681.00,--,--,438681.00,3209.00,--,441890.00,436031.00,--,2650.00,439240.00,--,2650.00,2.73,
"1233","天仁",1070558.00,425737.00,644821.00,--,--,644821.00,504216.00,--,140605.00,19574.00,160179.00,25902.00,134277.00,--,--,134277.00,-48839.00,--,85438.00,132291.00,0.00,1986.00,83297.00,--,2141.00,1.46,
"1234","黑松",2704498.00,1933396.00,771102.00,--,--,771102.00,880204.00,--,-109102.00,263388.00,154286.00,35880.00,118406.00,0.00,--,118406.00,-1206.00,--,117200.00,118406.00,--,--,117200.00,--,--,0.29,
"1235","興泰",100909.00,93653.00,7256.00,--,--,7256.00,13305.00,0.00,-6049.00,69597.00,63548.00,65.00,63483.00,--,--,63483.00,264479.00,--,327962.00,63680.00,--,-197.00,328159.00,--,-197.00,1.18,
"1236","宏亞食品",1132163.00,863818.00,268345.00,--,--,268345.00,266849.00,--,1496.00,119594.00,121090.00,3907.00,117183.00,--,--,117183.00,414561.00,--,531744.00,117183.00,--,--,531744.00,--,0.00,1.08,
"1262","F-綠悅",3090988.00,2028377.00,1062611.00,--,--,1062611.00,165094.00,--,897517.00,7043.00,904560.00,220524.00,684036.00,--,--,684036.00,-100507.00,--,583529.00,684036.00,--,0.00,583529.00,--,0.00,4.65,
"1301","台塑",111018850.00,103076806.00,7942044.00,--,--,7942044.00,5402110.00,--,2539934.00,10258780.00,12798714.00,1821190.00,10977524.00,--,--,10977524.00,18065564.00,--,29043088.00,10977524.00,--,--,29043088.00,--,--,1.72,
"1303","南亞塑膠",160688981.00,145581218.00,15107763.00,12000.00,--,15095763.00,8866936.00,--,6228827.00,12936081.00,19164908.00,-558451.00,19723359.00,--,--,19723359.00,17326840.00,--,37050199.00,19367269.00,--,356090.00,36694109.00,--,356090.00,2.44,
"1304","台聚",30115004.00,27811109.00,2303895.00,--,--,2303895.00,1689323.00,-5545.00,609027.00,-59200.00,549827.00,141356.00,408471.00,-14189.00,--,394282.00,171447.00,--,565729.00,318747.00,--,75535.00,473773.00,--,91956.00,0.31,
