公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1309,台達化工,15912612,15745348,167264,--,--,167264,533852,--,-366588,-52938,-419526,-14930,-404596,--,--,-404596,-85046,--,-489642,-404596,--,--,-489642,--,--,-1.23
1310,台苯,14052104,14042636,9468,--,--,9468,223691,--,-214223,431101,216878,-37810,254688,-30823,--,223865,-314389,--,-90524,231848,--,-7983,-83529,--,-6995,0.44
1312,國喬石化,18740030,17376690,1363340,--,--,1363340,863503,--,499837,298303,798140,276629,521511,--,--,521511,-102948,--,418563,366220,--,155291,318811,--,99752,0.4
1313,聯成,40111873,38858417,1253456,--,--,1253456,1204738,--,48718,-60961,-12243,-65110,52867,--,--,52867,-184814,--,-131947,53517,--,-650,-131539,--,-408,0.05
1314,中石化,25883470,26255643,-372173,0,474,-371699,881321,--,-1253020,318956,-934064,47629,-981693,--,--,-981693,-100897,--,-1082590,-978892,--,-2801,-1080267,--,-2323,-0.42
1315,達新工業,2233972,1821615,412357,--,--,412357,351230,--,61127,121378,182505,24515,157990,--,--,157990,-102851,--,55139,163970,--,-5980,61115,--,-5976,0.79
1316,上曜,627892,545734,82158,--,--,82158,200520,--,-118362,-6732,-125094,6549,-131643,--,--,-131643,1474,--,-130169,-138432,--,6789,-137078,--,6909,-1.07
1319,東陽,15597307,12080911,3516396,--,436,3516832,2670355,--,846477,312093,1158570,244056,914514,--,--,914514,-11154,--,903360,884596,--,29918,871435,--,31925,1.5
1321,大洋,4213593,4024831,188762,--,--,188762,297955,--,-109193,18111,-91082,0,-91082,--,--,-91082,734,--,-90348,-91082,--,--,-90348,--,--,-0.41
1323,永裕,2549322,1896800,652522,--,--,652522,334591,68,317999,25263,343262,97089,246173,--,--,246173,11653,--,257826,192726,--,53447,204285,--,53541,2.12
1324,地球工業,1096160,915053,181107,--,--,181107,146746,--,34361,8558,42919,6759,36160,--,--,36160,852,--,37012,36160,--,0,37012,--,0,0.48
1325,_大,813793,742455,71338,--,--,71338,55116,--,16222,18746,34968,8635,26333,--,--,26333,4241,--,30574,28720,--,-2387,31799,--,-1225,0.29
