公司代號,公司名稱,"營業收入","營業成本","營業毛利（毛損）","未實現銷貨（損）益","已實現銷貨（損）益","營業毛利（毛損）淨額","營業費用","其他收益及費損淨額","營業利益（損失）","營業外收入及支出","稅前淨利（淨損）","所得稅費用（利益）","繼續營業單位本期淨利（淨損）","停業單位損益","合併前非屬共同控制股權損益","本期淨利（淨損）","其他綜合損益（淨額）","合併前非屬共同控制股權綜合損益淨額","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"2023","燁輝",40762979.00,38108454.00,2654525.00,--,--,2654525.00,1828226.00,--,826299.00,-430154.00,396145.00,131402.00,264743.00,--,--,264743.00,-66606.00,--,198137.00,577604.00,--,-312861.00,376026.00,--,-177889.00,0.35,
"2024","志聯工業",1474209.00,1318766.00,155443.00,--,--,155443.00,90501.00,--,64942.00,-23827.00,41115.00,0.00,41115.00,0.00,--,41115.00,9967.00,--,51082.00,44996.00,0.00,-3881.00,51869.00,--,-787.00,0.41,
"2025","千興",2952748.00,3177780.00,-225032.00,--,--,-225032.00,64083.00,--,-289115.00,8286.00,-280829.00,0.00,-280829.00,--,--,-280829.00,52475.00,--,-228354.00,-280831.00,--,2.00,-228356.00,--,2.00,-1.00,
"2027","大成鋼",28466614.00,25311476.00,3155138.00,--,--,3155138.00,2835327.00,--,319811.00,-38047.00,281764.00,174583.00,107181.00,--,--,107181.00,47661.00,--,154842.00,46948.00,--,60233.00,109413.00,--,45429.00,0.06,
"2028","威致鋼鐵",7656069.00,7705370.00,-49301.00,--,--,-49301.00,185907.00,--,-235208.00,-80522.00,-315730.00,0.00,-315730.00,--,--,-315730.00,--,--,-315730.00,--,--,--,--,--,--,-1.19,
"2029","盛餘",11058151.00,9901467.00,1156684.00,--,--,1156684.00,578835.00,--,577849.00,-35611.00,542238.00,109343.00,432895.00,--,--,432895.00,37409.00,--,470304.00,436471.00,--,-3576.00,471924.00,--,-1620.00,1.36,
"2030","彰源",9853670.00,9129850.00,723820.00,--,--,723820.00,598929.00,--,124891.00,-84766.00,40125.00,22951.00,17174.00,--,--,17174.00,78429.00,--,95603.00,17204.00,--,-30.00,95633.00,--,-30.00,0.07,
"2031","新光鋼",6355410.00,5990153.00,365257.00,--,--,365257.00,147343.00,130375.00,348289.00,-76971.00,271318.00,23219.00,248099.00,--,--,248099.00,-66867.00,--,181232.00,250405.00,--,-2306.00,183510.00,--,-2278.00,0.90,
"2032","新鋼工業",2638664.00,2545055.00,93609.00,--,--,93609.00,76789.00,--,16820.00,12709.00,29529.00,4691.00,24838.00,--,--,24838.00,0.00,--,24838.00,--,--,--,--,--,--,0.19,
"2033","佳大世界",637548.00,586685.00,50863.00,--,--,50863.00,66413.00,--,-15550.00,4895.00,-10655.00,-1526.00,-9129.00,--,--,-9129.00,-8247.00,--,-17376.00,--,--,--,--,--,--,-0.11,
"2034","允強",17758444.00,16526392.00,1232052.00,--,--,1232052.00,711509.00,--,520543.00,39634.00,560177.00,67877.00,492300.00,0.00,--,492300.00,-3026.00,--,489274.00,492300.00,--,0.00,489274.00,--,0.00,1.33,
"2038","海光企業",8190843.00,8126709.00,64134.00,--,--,64134.00,141990.00,--,-77856.00,-31252.00,-109108.00,-14953.00,-94155.00,--,--,-94155.00,--,--,-94155.00,-98749.00,--,4594.00,-98749.00,--,4594.00,-0.57,
"2049","上銀科技",8561260.00,5404204.00,3157056.00,--,--,3157056.00,1662245.00,--,1494811.00,90922.00,1585733.00,388877.00,1196856.00,--,--,1196856.00,25578.00,--,1222434.00,1272780.00,--,-75924.00,1298358.00,--,-75924.00,5.01,
"2059","川湖",2778871.00,1331306.00,1447565.00,--,--,1447565.00,355486.00,--,1092079.00,124322.00,1216401.00,214412.00,1001989.00,--,--,1001989.00,5061.00,--,1007050.00,1001989.00,--,--,1007050.00,--,--,10.74,
"2062","橋椿",4469599.00,3279644.00,1189955.00,--,--,1189955.00,438441.00,--,751514.00,98701.00,850215.00,158837.00,691378.00,--,--,691378.00,122614.00,--,813992.00,691378.00,--,--,813992.00,--,--,4.24,
"2101","南港輪胎",10096458.00,8690249.00,1406209.00,--,--,1406209.00,967438.00,29785.00,468556.00,-90537.00,378019.00,88773.00,289246.00,--,--,289246.00,318257.00,--,607503.00,289246.00,--,--,607503.00,--,--,0.35,
"2102","泰豐輪胎",6468330.00,4997541.00,1470789.00,--,--,1470789.00,754606.00,--,716183.00,13639.00,729822.00,158301.00,571521.00,--,--,571521.00,95425.00,--,666946.00,571521.00,--,0.00,666946.00,--,0.00,1.39,
"2103","台橡",27207135.00,23604810.00,3602325.00,0.00,0.00,3602325.00,1747666.00,96319.00,1950978.00,-76545.00,1874433.00,383417.00,1491016.00,0.00,--,1491016.00,282571.00,--,1773587.00,1274719.00,--,216297.00,1562433.00,--,211154.00,1.62,
"2104","中橡",16400954.00,13752938.00,2648016.00,--,--,2648016.00,1238468.00,--,1409548.00,-18634.00,1390914.00,823170.00,567744.00,--,--,567744.00,981682.00,--,1549426.00,685554.00,--,-117810.00,1672961.00,--,-123535.00,1.27,
"2105","正新",100283222.00,74864422.00,25418800.00,--,--,25418800.00,9456400.00,--,15962400.00,1189157.00,17151557.00,3490416.00,13661141.00,--,--,13661141.00,1698137.00,--,15359278.00,13596985.00,--,64156.00,15361362.00,--,-2084.00,4.19,
"2106","建大",22046219.00,16453165.00,5593054.00,--,--,5593054.00,2547758.00,--,3045296.00,108442.00,3153738.00,685399.00,2468339.00,--,--,2468339.00,468860.00,--,2937199.00,2468339.00,--,--,2937199.00,--,--,3.23,
"2107","厚生",3157507.00,1287706.00,1869801.00,--,--,1869801.00,318326.00,--,1551475.00,133265.00,1684740.00,124018.00,1560722.00,--,--,1560722.00,180289.00,--,1741011.00,1560722.00,--,0.00,1741011.00,--,0.00,3.14,
"2108","南帝化工",6603279.00,5711444.00,891835.00,--,--,891835.00,628821.00,--,263014.00,34478.00,297492.00,47442.00,250050.00,--,--,250050.00,118914.00,--,368964.00,247850.00,--,2200.00,368218.00,--,746.00,0.62,
"2109","華豐橡膠",5639781.00,4531210.00,1108571.00,--,--,1108571.00,677833.00,--,430738.00,-5581.00,425157.00,76792.00,348365.00,--,--,348365.00,6938.00,--,355303.00,232317.00,--,116048.00,250426.00,--,104877.00,0.62,
"2114","鑫永銓",1362891.00,896140.00,466751.00,--,--,466751.00,107962.00,--,358789.00,17798.00,376587.00,53186.00,323401.00,--,--,323401.00,130.00,--,323531.00,323401.00,--,--,323531.00,--,--,5.27,
"2115","F-六暉",1757312.00,1444470.00,312842.00,--,--,312842.00,186484.00,--,126358.00,-17414.00,108944.00,35644.00,73300.00,--,--,73300.00,48843.00,--,122143.00,73300.00,--,--,122143.00,--,--,1.22,
"2201","裕隆汽車",65325960.00,54323002.00,11002958.00,--,-11037.00,10991921.00,10511827.00,--,480094.00,3026931.00,3507025.00,811257.00,2695768.00,--,--,2695768.00,1295451.00,--,3991219.00,2660223.00,--,35545.00,3797470.00,--,193749.00,1.82,
"2204","中華汽車",26793818.00,22451100.00,4342718.00,-1619.00,--,4344337.00,3288137.00,--,1056200.00,1075282.00,2131482.00,231486.00,1899996.00,--,--,1899996.00,1446284.00,--,3346280.00,1770197.00,--,129799.00,3164035.00,--,182245.00,1.30,
"2206","三陽工業",25046256.00,21233119.00,3813137.00,--,--,3813137.00,4082472.00,--,-269335.00,388094.00,118759.00,35466.00,83293.00,--,--,83293.00,578297.00,--,661590.00,126000.00,--,-42707.00,719783.00,--,-58193.00,0.15,
"2207","和泰汽車",106722458.00,93250639.00,13471819.00,12670.00,6920.00,13466069.00,7777123.00,--,5688946.00,2301909.00,7990855.00,1528693.00,6462162.00,--,--,6462162.00,233083.00,--,6695245.00,5730683.00,--,731479.00,5947502.00,--,747743.00,10.49,
"2208","台船公司",18374131.00,17696526.00,677605.00,--,--,677605.00,333948.00,--,343657.00,105860.00,449517.00,68740.00,380777.00,--,--,380777.00,--,--,380777.00,378188.00,--,2589.00,378188.00,--,2589.00,0.51,
"2227","裕隆日產",22402137.00,18385863.00,4016274.00,--,--,4016274.00,2567192.00,-15.00,1449067.00,4622494.00,6071561.00,1034281.00,5037280.00,--,--,5037280.00,780144.00,--,5817424.00,5037280.00,--,--,5817424.00,--,--,16.79,
"2228","劍麟",2291221.00,1662252.00,628969.00,--,--,628969.00,322215.00,--,306754.00,39202.00,345956.00,95400.00,250556.00,--,--,250556.00,38352.00,--,288908.00,250556.00,--,--,288908.00,--,--,3.85,
